ID,Site,StudyArea,Year,species,HatchDate,DayNumber,Method,LayDate,LayMethod,Kev's notes
125Rankin,125,Rankin,2014,PEFA,,,CHECK CAMERA,-99,na,
3Rankin,3,Rankin,2013,PEFA,7/14/2013,195,Camera,6/15/2013,camera,
4Rankin,4,Rankin,2013,PEFA,7/12/2013,193,Estimated via retrcies and chick weight,6/7/2013,camera,
7Rankin,7,Rankin,2013,PEFA,7/10/2013,191,Estimated via retrcies and chick weight,6/6/2013,estimate,
8Rankin,8,Rankin,2013,PEFA,7/13/2013,194,Camera,6/7/2013,camera,
9Rankin,9,Rankin,2013,PEFA,7/19/2013,200,Camera,6/15/2013,estimate,
12Rankin,12,Rankin,2013,PEFA,7/13/2013,194,Camera,6/7/2013,estimate,
16Rankin,16,Rankin,2013,PEFA,7/10/2013,191,Camera,6/4/2013,estimate,
19Rankin,19,Rankin,2013,PEFA,7/9/2013,190,CHECK CAMERA,6/5/2013,estimate,
22Rankin,22,Rankin,2013,PEFA,7/16/2013,197,Camera,6/12/2013,estimate,
23Rankin,23,Rankin,2013,PEFA,7/7/2013,188,CHECK CAMERA,6/3/2013,estimate,
28Rankin,28,Rankin,2013,PEFA,7/12/2013,193,CHECK CAMERA,6/6/2013,camera,
30Rankin,30,Rankin,2013,PEFA,7/14/2013,195,Camera,6/7/2013,camera,
31Rankin,31,Rankin,2013,PEFA,7/20/2013,201,CHECK CAMERA,6/14/2013,camera,
33Rankin,33,Rankin,2013,PEFA,7/9/2013,190,CHECK CAMERA,6/5/2013,estimate,
35Rankin,35,Rankin,2013,PEFA,7/16/2013,197,CHECK CAMERA,6/12/2013,estimate,
39Rankin,39,Rankin,2013,PEFA,7/15/2013,196,CHECK CAMERA,6/10/2013,camera,
47Rankin,47,Rankin,2013,PEFA,,,CHECK CAMERA,6/12/2013,camera,
50Rankin,50,Rankin,2013,PEFA,7/13/2013,194,Camera,6/6/2013,camera,
53Rankin,53,Rankin,2013,PEFA,7/14/2013,195,Camera,6/10/2013,estimate,
106Rankin,106,Rankin,2013,PEFA,,,CHECK CAMERA,-99,na,
61Rankin,61,Rankin,2013,PEFA,7/18/2013,199,CHECK CAMERA,6/11/2013,camera,
65Rankin,65,Rankin,2013,PEFA,,,CHECK CAMERA,-99,na,
67Rankin,67,Rankin,2013,PEFA,7/14/2013,195,CHECK CAMERA,6/9/2013,camera,
72Rankin,72,Rankin,2013,PEFA,7/16/2013,197,Camera,6/8/2013,camera,
75Rankin,75,Rankin,2013,PEFA,7/10/2013,191,CHECK CAMERA,6/6/2013,estimate,
77Rankin,77,Rankin,2013,PEFA,7/16/2013,197,Camera,6/12/2013,estimate,
78Rankin,78,Rankin,2013,PEFA,7/12/2013,193,Camera,6/8/2013,estimate,
79Rankin,79,Rankin,2013,PEFA,7/17/2013,198,Camera,6/12/2013,estimate,
80Rankin,80,Rankin,2013,PEFA,,,CHECK CAMERA,-99,na,
84Rankin,84,Rankin,2013,PEFA,,,CHECK CAMERA,-99,na,
85Rankin,85,Rankin,2013,PEFA,7/20/2013,201,CHECK CAMERA,6/16/2013,estimate,
88Rankin,88,Rankin,2013,PEFA,7/8/2013,189,Camera,6/4/2013,estimate,
95Rankin,95,Rankin,2013,PEFA,,,CHECK CAMERA,-99,na,
98Rankin,98,Rankin,2013,PEFA,7/10/2013,191,Direct observation,6/6/2013,estimate,
100Rankin,100,Rankin,2013,PEFA,7/12/2013,193,Camera,6/8/2013,estimate,
