ind,nest,chick,treatment,survival,brood,hatch,sex,year,cond,asynchrony,july,age,weight,tarsus,headbill,culmen,tc,tarsusratio,runt2,runt3,runt4,runt,c,y
33g13,33,green,1,1,4,3,m,2013,d,2,11,9,145,NA,NA,NA,NA,NA,1,1,0,0,g,13
33g13,33,green,1,1,4,3,m,2013,d,2,11,4,66,NA,NA,NA,NA,NA,1,1,0,0,g,13
33r13,33,red,1,1,4,1,m,2013,d,0,9,33,584,NA,NA,NA,NA,NA,0,0,0,0,r,13
33r13,33,red,1,1,4,1,m,2013,d,0,9,28,614,NA,NA,NA,NA,NA,0,0,0,0,r,13
33r13,33,red,1,1,4,1,m,2013,d,0,9,25,584,NA,NA,NA,NA,NA,0,0,0,0,r,13
33r13,33,red,1,1,4,1,m,2013,d,0,9,23,540,NA,NA,NA,NA,NA,0,0,0,0,r,13
33r13,33,red,1,1,4,1,m,2013,d,0,9,21,488,NA,NA,NA,NA,NA,0,0,0,0,r,13
33r13,33,red,1,1,4,1,m,2013,d,0,9,19,445,NA,NA,NA,NA,NA,0,0,0,0,r,13
33r13,33,red,1,1,4,1,m,2013,d,0,9,16,370,NA,NA,NA,NA,NA,0,0,0,0,r,13
33r13,33,red,1,1,4,1,m,2013,d,0,9,11,173,NA,NA,NA,NA,NA,0,0,0,0,r,13
33r13,33,red,1,1,4,1,m,2013,d,0,9,6,83,NA,NA,NA,NA,NA,0,0,0,0,r,13
35g13,35,green,0,1,2,2,f,2013,d,3,19,26,720,NA,NA,NA,NA,NA,1,0,0,0,g,13
35g13,35,green,0,1,2,2,f,2013,d,3,19,20,685,NA,NA,NA,NA,NA,1,0,0,0,g,13
35g13,35,green,0,1,2,2,f,2013,d,3,19,15,510,NA,NA,NA,NA,NA,1,0,0,0,g,13
35g13,35,green,0,1,2,2,f,2013,d,3,19,10,273,NA,NA,NA,NA,NA,1,0,0,0,g,13
35g13,35,green,0,1,2,2,f,2013,d,3,19,5,96,NA,NA,NA,NA,NA,1,0,0,0,g,13
35g13,35,green,0,1,2,2,f,2013,d,3,19,1,36,NA,NA,NA,NA,NA,1,0,0,0,g,13
35r13,35,red,0,1,2,1,m,2013,d,0,16,29,610,NA,NA,NA,NA,NA,0,0,0,0,r,13
35r13,35,red,0,1,2,1,m,2013,d,0,16,23,620,NA,NA,NA,NA,NA,0,0,0,0,r,13
35r13,35,red,0,1,2,1,m,2013,d,0,16,18,560,NA,NA,NA,NA,NA,0,0,0,0,r,13
35r13,35,red,0,1,2,1,m,2013,d,0,16,13,365,NA,NA,NA,NA,NA,0,0,0,0,r,13
35r13,35,red,0,1,2,1,m,2013,d,0,16,8,194,NA,NA,NA,NA,NA,0,0,0,0,r,13
35r13,35,red,0,1,2,1,m,2013,d,0,16,4,70,NA,NA,NA,NA,NA,0,0,0,0,r,13
39b13,39,blue,1,1,3,3,m,2013,d,4,19,27,557,NA,NA,NA,NA,NA,1,1,0,1,b,13
39b13,39,blue,1,1,3,3,m,2013,d,4,19,20,578,NA,NA,NA,NA,NA,1,1,0,1,b,13
