"","ind","nest","chick","sex","year","age","weight","hatch_day"
"176","72b13",72,"blue","f",2013,8,102,2013-07-16
"177","72b13",72,"blue","f",2013,2,32,2013-07-16
"178","72bk13",72,"black","m",2013,29,566,2013-07-16
"179","72bk13",72,"black","m",2013,22,500,2013-07-16
"180","72bk13",72,"black","m",2013,15,263,2013-07-16
"181","72bk13",72,"black","m",2013,8,91,2013-07-16
"182","72bk13",72,"black","m",2013,2,31,2013-07-16
"183","72r13",72,"red","f",2013,29,793,2013-07-16
"184","72r13",72,"red","f",2013,22,640,2013-07-16
"185","72r13",72,"red","f",2013,15,258,2013-07-16
"186","72r13",72,"red","f",2013,8,91,2013-07-16
"187","72r13",72,"red","f",2013,2,36,2013-07-16
"188","75g13",75,"green","f",2013,29,830,2013-07-10
"189","75g13",75,"green","f",2013,24,790,2013-07-10
"190","75g13",75,"green","f",2013,19,592,2013-07-10
"191","75g13",75,"green","f",2013,14,336,2013-07-10
"192","75g13",75,"green","f",2013,10,190,2013-07-10
"193","75g13",75,"green","f",2013,5,60,2013-07-10
"194","75r13",75,"red","f",2013,29,875,2013-07-10
"195","75r13",75,"red","f",2013,24,840,2013-07-10
"196","75r13",75,"red","f",2013,19,647,2013-07-10
"197","75r13",75,"red","f",2013,14,368,2013-07-10
"198","75r13",75,"red","f",2013,10,213,2013-07-10
"199","75r13",75,"red","f",2013,5,69,2013-07-10
"200","79g13",79,"green","f",2013,28,853,2013-07-19
"201","79g13",79,"green","f",2013,25,858,2013-07-19
"202","79g13",79,"green","f",2013,20,685,2013-07-19
"203","79g13",79,"green","f",2013,14,481,2013-07-19
"204","79g13",79,"green","f",2013,9,226,2013-07-19
"205","79g13",79,"green","f",2013,4,68,2013-07-19
"206","79r13",79,"red","m",2013,30,653,2013-07-17
"207","79r13",79,"red","m",2013,27,645,2013-07-17
"208","79r13",79,"red","m",2013,22,570,2013-07-17
"209","79r13",79,"red","m",2013,16,481,2013-07-17
"210","79r13",79,"red","m",2013,11,269,2013-07-17
"211","79r13",79,"red","m",2013,6,107,2013-07-17
"212","79r13",79,"red","m",2013,2,42,2013-07-17
"213","7b13",7,"blue","f",2013,33,873,2013-07-11
"214","7b13",7,"blue","f",2013,27,869,2013-07-11
"215","7b13",7,"blue","f",2013,21,704,2013-07-11
"216","7b13",7,"blue","f",2013,16,428,2013-07-11
"217","7b13",7,"blue","f",2013,12,295,2013-07-11
"218","7b13",7,"blue","f",2013,8,146,2013-07-11
"219","7bk13",7,"black","f",2013,30,918,2013-07-14
